iter	Passed	Remaining
645	3027	1658
646	3032	1654
647	3036	1649
648	3041	1644
649	3046	1640
650	3050	1635
651	3054	1630
652	3058	1625
653	3063	1620
654	3067	1615
655	3071	1610
656	3076	1605
657	3080	1600
658	3084	1596
659	3088	1591
660	3093	1586
661	3097	1581
662	3101	1576
663	3106	1572
664	3110	1567
665	3115	1562
666	3121	1558
667	3126	1553
668	3130	1549
669	3135	1544
670	3139	1539
671	3144	1534
672	3149	1530
673	3154	1525
674	3160	1521
675	3165	1517
676	3170	1512
677	3174	1507
678	3179	1503
679	3184	1498
680	3189	1493
681	3194	1489
682	3199	1485
683	3205	1480
684	3210	1476
685	3216	1472
686	3221	1467
687	3226	1463
688	3231	1458
689	3236	1454
690	3242	1449
691	3247	1445
692	3251	1440
693	3257	1436
694	3263	1432
695	3268	1427
696	3273	1423
697	3278	1418
698	3283	1413
699	3288	1409
700	3293	1404
701	3298	1400
702	3303	1395
703	3307	1390
704	3312	1386
705	3318	1381
706	3323	1377
707	3328	1372
708	3333	1368
709	3338	1363
710	3342	1358
711	3348	1354
712	3353	1349
713	3358	1345
714	3363	1340
715	3368	1336
716	3374	1332
717	3379	1327
718	3384	1322
719	3389	1318
720	3395	1313
721	3399	1309
722	3405	1304
723	3410	1299
724	3415	1295
725	3420	1290
726	3425	1286
727	3429	1281
728	3434	1276
729	3450	1276
730	3455	1271
731	3459	1266
732	3464	1262
733	3470	1257
734	3475	1252
735	3480	1248
736	3485	1243
737	3490	1239
738	3495	1234
739	3500	1230
740	3506	1225
741	3511	1221
742	3517	1216
743	3522	1212
744	3527	1207
745	3533	1202
746	3537	1198
747	3542	1193
748	3547	1188
749	3551	1183
750	3556	1179
751	3561	1174
752	3566	1169
753	3571	1165
754	3576	1160
755	3580	1155
756	3585	1150
757	3590	1146
758	3595	1141
759	3600	1136
760	3604	1132
761	3609	1127
762	3614	1122
763	3619	1118
764	3624	1113
765	3630	1109
766	3635	1104
767	3640	1099
768	3645	1095
769	3650	1090
770	3655	1085
771	3660	1080
772	3664	1076
773	3669	1071
774	3673	1066
775	3678	1061
776	3683	1057
777	3688	1052
778	3693	1047
779	3698	1043
780	3703	1038
781	3708	1033
782	3713	1029
783	3718	1024
784	3723	1019
785	3728	1015
786	3733	1010
787	3738	1005
788	3743	1001
789	3748	996
790	3753	991
791	3757	986
792	3762	982
793	3767	977
794	3772	972
795	3776	967
796	3782	963
797	3786	958
798	3791	953
799	3796	949
800	3800	944
801	3805	939
802	3810	934
803	3814	929
804	3819	925
805	3824	920
806	3828	915
807	3833	910
808	3837	906
809	3842	901
810	3847	896
811	3851	891
812	3856	886
813	3860	882
814	3865	877
815	3869	872
816	3873	867
817	3878	862
818	3882	858
819	3887	853
820	3892	848
821	3898	844
822	3902	839
823	3907	834
824	3911	829
825	3915	824
826	3919	819
827	3924	815
828	3928	810
829	3933	805
830	3938	800
831	3942	796
832	3946	791
833	3951	786
834	3955	781
835	3960	776
836	3965	772
837	3969	767
838	3973	762
839	3978	757
840	3982	753
841	3987	748
842	3991	743
843	3995	738
844	4000	733
845	4005	729
846	4010	724
847	4015	719
848	4020	714
849	4024	710
850	4030	705
851	4035	701
852	4040	696
853	4045	691
854	4050	686
855	4054	682
856	4059	677
857	4064	672
858	4069	667
859	4074	663
860	4078	658
861	4083	653
862	4088	649
863	4093	644
864	4098	639
